Strategy,Params,Hold,Trades,PnL,WinRate%,ProfitFactor,AvgRet%,MaxDD%,Sharpe,CAGR%
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",1,13,80014.47,61.5,5.16,24.62,-5.51,8.25,78.59
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",2,9,58964.26,55.6,2.72,26.32,-10.55,6.55,58.96
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",3,9,168285.83,55.6,3.88,75.14,-17.19,7.11,164.04
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",5,7,99008.15,57.1,3.63,56.81,-12.37,6.63,96.45
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",7,6,49581.07,33.3,2.16,33.13,-35.2,3.55,48.93
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",10,6,3979.51,16.7,1.05,2.67,-52.05,0.24,3.83
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",1,6,35022.83,50.0,4.34,23.35,-7.21,6.94,59.11
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",2,5,45898.39,60.0,3.62,37.1,-8.5,8.66,79.36
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",3,4,5329.37,25.0,1.27,5.4,-15.68,1.29,8.4
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",5,3,29716.3,100.0,inf,39.7,0.0,26.52,50.85
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",7,3,3810.33,33.3,1.16,5.05,-16.59,0.81,5.88
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",10,3,26551.14,33.3,1.77,35.35,-16.06,3.05,41.22
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",1,93,-41311.61,41.9,0.89,-1.77,-64.83,-0.67,-25.83
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",2,76,3256.61,36.8,1.01,0.18,-76.58,0.02,1.81
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",3,62,37062.69,35.5,1.1,2.36,-49.79,0.54,19.33
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",5,47,-222205.0,27.7,0.51,-19.02,-234.64,-4.15,0.0
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",7,38,-79025.74,31.6,0.76,-8.37,-103.57,-1.44,-58.34
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",10,30,-82345.13,26.7,0.77,-11.05,-130.79,-1.4,-62.18
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",1,62,35908.66,48.4,1.13,2.35,-43.68,0.7,20.71
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",2,49,-13016.02,34.7,0.95,-1.04,-96.84,-0.32,-8.15
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",3,41,1808.4,39.0,1.01,0.16,-47.33,0.02,1.11
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",5,33,-49141.23,30.3,0.82,-6.05,-122.8,-1.09,-33.81
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",7,26,-33366.61,26.9,0.87,-5.1,-140.56,-0.76,-21.88
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",10,20,-65211.44,20.0,0.76,-13.11,-157.87,-1.45,-47.11
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",1,35,104775.07,65.7,1.81,12.03,-34.06,3.44,63.67
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",2,26,36885.45,42.3,1.25,5.76,-30.79,1.37,24.14
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",3,22,28889.8,40.9,1.2,5.28,-56.55,0.99,19.1
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",5,16,-94780.69,12.5,0.34,-23.85,-129.52,-6.53,-86.86
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",7,14,-46821.43,28.6,0.71,-13.41,-108.51,-1.91,-34.64
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",10,11,-56475.0,18.2,0.61,-20.75,-125.69,-2.57,-43.19
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",1,25,27286.73,64.0,1.26,4.42,-36.18,1.36,18.04
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",2,19,-8204.22,36.8,0.93,-1.6,-49.46,-0.51,-5.74
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",3,16,-87247.48,25.0,0.26,-21.92,-88.06,-8.57,-75.46
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",5,12,-121661.65,16.7,0.14,-40.77,-123.82,-12.5,0.0
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",7,10,-64287.85,30.0,0.49,-25.8,-81.72,-5.0,-50.73
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",10,8,-55704.16,12.5,0.52,-28.12,-92.48,-3.86,-42.21
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",1,70,-14131.57,38.6,0.95,-0.81,-40.5,-0.31,-10.27
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",2,56,31025.67,39.3,1.1,2.21,-85.78,0.54,21.2
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",3,46,-69018.05,30.4,0.78,-6.05,-160.19,-1.51,-56.56
